objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pottery001,1000000449.jpg,,,Collection of Wood-Fired Pots,"Fridley, Jordan",2023-04-12,Photograph of a collection of wood-fired pottery pieces created by Jordan Fridley.,Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Wood_Fired_Collection,Image;StillImage,image/jpg,eng,,
pottery002,1000000451.jpg,,,Snail Mug,"Fridley, Jordan",4-12-2023,Photograph of a wheelthrown mug with a snail carved in.,Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Snail_Mug,Image;StillImage,image/jpg,eng,,
pottery003,1000000453.jpg,,,Soda-Fired Cup,"Fridley, Jordan",4-12-2023,"Photograph of a soda-fired, wheelthrown porcelain cup.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Soda_Fired_Cup,Image;StillImage,image/jpg,eng,,
pottery004,1000000456.jpg,,,Snail Shot Glass,"Fridley, Jordan",4-12-2023,"Photograph of a porcelain, wheelthrown shotglass with a snail carved in.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Shot_Glass_Snail,Image;StillImage,image/jpg,eng,,
pottery005,1000000462.jpg,,,Koi Fish Bowl,"Fridley, Jordan",4-12-2023,"Photograph of a soda-fired, wheelthrown bowl with koi fish painted on the inside.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Koi_Bowl,Image;StillImage,image/jpg,eng,,
pottery006,1000002770.jpg,,,Pumpkin Bowl,"Fridley, Jordan",12-3-2023,"Photograph of a wheelthrown bowl with pumpkin underglaze transfers on the outside, zoomed in to show glaze detail.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Pumpkin_Bowl,Image;StillImage,image/jpg,eng,,
pottery007,1000004126.jpg,,,Tree Cup,"Fridley, Jordan",3-29-2024,"Photograph of wheel-thrown, soda-fired cup with trees painted on surface by means of slip-trailing.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Tree_Cup,Image;StillImage,image/jpg,eng,,
pottery008,1000004248.jpg,,,Wood-Fired Lamp Base with Mushrooms,"Fridley, Jordan",4-7-2024,"Photograph of a wheelthrown, wood-fired lamp base with mushrooms painted on with underglaze and slip.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,Wood_Lamp,Image;StillImage,image/jpg,eng,,
pottery009,1000006851.heic,,,Greenware Jar with Knob Lid,"Fridley, Jordan",11-17-2024,"Photograph of a wheelthrown, greenware jar with a knobbed lid.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0942° N,79.8878° W,,GW_Jar,Image;StillImage,image/heic,eng,,
pottery010,1000008809.heic,,,Greenware Sgraffito Snail Mug,"Fridley, Jordan",3-26-2025,"Photograph of a wheelthrown, greenware mug with sgraffito surface design. The design carved in is a snail.",Pottery;Pottery Craft;Ceramics,"Greensboro, North Carolina",36.0654° N,79.7925° W,,GW_Sgraffito_Mug,Image;StillImage,image/heic,eng,,
